iter	MultiClass
207	0.4746271703
208	0.4734287149
209	0.4721608113
210	0.4705767137
211	0.4694242346
212	0.4682396534
213	0.4670994652
214	0.4658531914
215	0.4646364907
216	0.4632901567
217	0.4621781799
218	0.4607992451
219	0.4594221015
220	0.4586764448
221	0.4569684353
222	0.455273825
223	0.4542325739
224	0.4526922654
225	0.4507882788
226	0.4491252326
227	0.4485321138
228	0.4476769322
229	0.4459255972
230	0.4448644771
231	0.4436763909
232	0.441780374
233	0.4401804834
234	0.4389784538
235	0.4381992833
236	0.4373660154
237	0.4362088749
238	0.4346036311
239	0.4329209774
240	0.4321696893
241	0.4312166202
242	0.4301168736
243	0.4289895664
244	0.4275131952
245	0.4264040154
246	0.4257130578
247	0.4238875082
248	0.4225455032
249	0.421236445
250	0.4196811482
251	0.4186981417
252	0.4170828415
253	0.4158149261
254	0.4144674397
255	0.4134957624
256	0.4122143312
257	0.4112763988
258	0.4100896254
259	0.4089497596
260	0.407268496
261	0.4062439464
262	0.405432834
263	0.404669808
264	0.4039471499
265	0.4025414196
266	0.4017675737
267	0.4010442473
268	0.4001557901
269	0.3990559616
270	0.3978155314
271	0.3964484825
272	0.3958116324
273	0.3940694663
274	0.3928670305
275	0.3914445052
276	0.3902415068
277	0.3893784554
278	0.3884460642
279	0.3874690291
280	0.3864745668
281	0.3853327078
282	0.3842457742
283	0.3836912102
284	0.3826986029
285	0.3814109551
286	0.3806921732
287	0.3795454348
288	0.3782598067
289	0.3768471876
290	0.3761138792
291	0.375479882
292	0.3745729082
293	0.3733541683
294	0.3721078269
295	0.3714654881
296	0.3703100529
297	0.3694668242
298	0.3684452204
299	0.3675102479
300	0.3668559991
301	0.3657022143
302	0.3637671336
303	0.3623899716
304	0.3613268317
305	0.3603153501
306	0.359140238
307	0.3581729841
308	0.3572946155
309	0.3566539975
310	0.3559177341
311	0.3545227488
312	0.3529905581
313	0.3516797126
314	0.3508004931
315	0.3499727041
316	0.3489592118
317	0.3479321058
318	0.3472914287
319	0.3462662764
320	0.344703487
321	0.3440003186
322	0.3429922282
323	0.341748299
324	0.340402073
325	0.3398422222
326	0.3388411879
327	0.3381559134
328	0.337511254
329	0.3371414624
330	0.3361690893
331	0.3355362842
332	0.3347690208
333	0.333921867
334	0.3333581697
335	0.3325175848
336	0.3316078195
